CoilID,Risk Score,Prediction,Risk Level,Top 3 Reasons
711,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X6 (low), X37 (low)"
1542,0.0000,NORMAL,LOW RISK,—
1232,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
600,0.0000,NORMAL,LOW RISK,—
1087,0.0000,DEFECT,MEDIUM RISK,"X6 (low), X35 (low), X36 (high)"
1401,0.0000,NORMAL,LOW RISK,—
217,0.0003,DEFECT,MEDIUM RISK,"X41 (low), X36 (high), X44 (low)"
877,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (high), X41 (low)"
1117,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X16 (low)"
555,0.0000,NORMAL,LOW RISK,—
1095,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X23 (low), X35 (low)"
732,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X39 (low)"
1298,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X7 (low)"
940,0.0027,DEFECT,MEDIUM RISK,"X14 (low), X5 (low), X36 (high)"
1082,0.0000,NORMAL,LOW RISK,—
735,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (high), X6 (low)"
923,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X41 (low), X38 (low)"
1209,0.0000,NORMAL,LOW RISK,—
1138,0.0242,DEFECT,MEDIUM RISK,"X36 (high), X6 (low), X27 (low)"
654,0.9965,DEFECT,HIGH RISK,"X35 (high), X36 (high), X38 (low)"
215,0.0000,DEFECT,MEDIUM RISK,"X23 (low), X6 (low), X37 (low)"
403,0.0000,DEFECT,MEDIUM RISK,"X14 (low), X18 (low), X41 (low)"
1157,0.0000,DEFECT,MEDIUM RISK,"X16 (low), X35 (low), X7 (low)"
1556,0.0000,NORMAL,LOW RISK,—
826,0.0002,DEFECT,MEDIUM RISK,"X14 (low), X38 (low), X6 (low)"
857,0.0008,DEFECT,MEDIUM RISK,"X16 (high), X9 (low), X5 (low)"
239,0.0015,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X25 (low)"
376,0.9839,DEFECT,HIGH RISK,"X37 (low), X36 (high), X16 (high)"
274,0.4592,DEFECT,MEDIUM RISK,"X35 (high), X38 (low), X36 (high)"
1448,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X23 (low), X35 (low)"
459,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X6 (low)"
2,0.0000,NORMAL,LOW RISK,—
112,0.0002,DEFECT,MEDIUM RISK,"X23 (low), X37 (low), X35 (high)"
730,0.0035,DEFECT,MEDIUM RISK,"X38 (low), X18 (low), X46 (low)"
1650,0.0000,NORMAL,LOW RISK,—
1334,0.0000,NORMAL,LOW RISK,—
1049,0.0000,NORMAL,LOW RISK,—
240,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X23 (low), X9 (low)"
829,0.0001,DEFECT,MEDIUM RISK,"X38 (low), X41 (low), X5 (low)"
1183,0.1520,DEFECT,MEDIUM RISK,"X35 (low), X16 (low), X36 (high)"
1425,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X38 (low)"
1206,0.0000,NORMAL,LOW RISK,—
1562,0.0000,NORMAL,LOW RISK,—
759,0.9696,DEFECT,HIGH RISK,"X16 (low), X35 (high), X36 (high)"
100,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X35 (low), X7 (low)"
282,0.1164,DEFECT,MEDIUM RISK,"X11 (low), X35 (high), X36 (high)"
1647,0.0000,NORMAL,LOW RISK,—
419,0.0000,NORMAL,LOW RISK,—
420,0.0000,NORMAL,LOW RISK,—
1040,0.0000,DEFECT,MEDIUM RISK,"X36 (low), X16 (low), X35 (low)"
1463,0.0000,NORMAL,LOW RISK,—
1597,0.0000,NORMAL,LOW RISK,—
1583,0.0000,NORMAL,LOW RISK,—
